 Package                              Name                                                                     Typ     Status         Version              
 Search Toolkit                       Apache Solr Access (apachesolr_access)                                   Module  Not installed  7.x-1.8              
 Search Toolkit                       Apache Solr framework (apachesolr)                                       Module  Enabled        7.x-1.8              
 Search Toolkit                       Apache Solr Real Time (apachesolr_realtime)                              Module  Enabled        7.x-1.2              
 Search Toolkit                       Apache Solr Real Time Reports (apachesolr_realtime_reports)              Module  Not installed  7.x-1.2              
 Search Toolkit                       Apache Solr search (apachesolr_search)                                   Module  Enabled        7.x-1.8              
 Search Toolkit                       Apache Solr Views integration (apachesolr_views)                         Module  Enabled        7.x-1.1-beta1        
 Services                             Services (services)                                                      Module  Enabled        7.x-3.18             
 Services - authentication            OAuth Authentication (services_oauth)                                    Module  Not installed  7.x-3.18             
 Services - resources                 UUID Services (uuid_services)                                            Module  Not installed  7.x-1.0              
 Services - servers                   REST Server (rest_server)                                                Module  Not installed  7.x-3.18             
 Services - servers                   XMLRPC Server (xmlrpc_server)                                            Module  Not installed  7.x-3.18             
 Spam control                         CAPTCHA (captcha)                                                        Module  Enabled        7.x-1.3              
 Spam control                         Image CAPTCHA (image_captcha)                                            Module  Enabled        7.x-1.3              
 Statistics                           Open Web Analytics (owa)                                                 Module  Not installed  7.x-1.0-alpha2       
 Statistics                           Piwik Web Analytics (piwik)                                              Module  Enabled        7.x-2.9              
 User interface                       Chosen (chosen)                                                          Module  Enabled        7.x-2.0              
 User interface                       CKEditor for WYSIWYG (ckeditor)                                          Module  Not installed  7.x-1.0-beta1        
 User interface                       IMCE Wysiwyg API bridge (imce_wysiwyg)                                   Module  Enabled        7.x-1.0              
 User interface                       jQuery Autosize (jquery_autosize)                                        Module  Enabled        7.x-1.x-dev          
 User interface                       jQuery Update (jquery_update)                                            Module  Enabled        7.x-3.0-alpha3       
 User interface                       Responsive Menus (responsive_menus)                                      Module  Enabled        7.x-1.5              
 User interface                       Wysiwyg (wysiwyg)                                                        Module  Enabled        7.x-2.3              
 UUID                                 Universally Unique ID (uuid)                                             Module  Enabled        7.x-1.0              
 UUID                                 UUID Path (uuid_path)                                                    Module  Not installed  7.x-1.0              
 Views                                Views (views)                                                            Module  Enabled        7.x-3.14             
 Views                                Views Bulk Operations (views_bulk_operations)                            Module  Enabled        7.x-3.3              
 Views                                Views UI (views_ui)                                                      Module  Enabled        7.x-3.14             
 Visualization                        D3 (d3)                                                                  Module  Enabled        7.x-1.0-alpha2+3-dev 
 Visualization                        D3 Examples (d3_examples)                                                Module  Enabled        7.x-1.0-alpha2+3-dev 
 Visualization                        D3 Kompetenz Words (d3_kompetenz_words)                                  Module  Enabled        7.x-1.0-alpha2+3-dev 
 Visualization                        D3 Network Aachen (d3_network_aachen)                                    Module  Enabled        7.x-1.0-alpha2+3-dev 
 Visualization                        D3 Views (d3_views)                                                      Module  Not installed  7.x-1.0-alpha2+3-dev 
 Voting                               Fivestar (fivestar)                                                      Module  Enabled        7.x-2.2              
 Voting                               Half Star (halfstar)                                                     Module  Enabled        7.x-1.1              
 Voting                               Voting API (votingapi)                                                   Module  Enabled        7.x-2.12             
 Webform                              Permissions per Webform (permissions_per_webform)                        Module  Enabled        7.x-1.0-alpha1       
 Webform                              Webform (webform)                                                        Module  Enabled        7.x-4.14             
 Webform                              Webform Hints (webform_hints)                                            Module  Enabled        7.x-1.5              
 Webform                              Webform Rules (webform_rules)                                            Module  Enabled        7.x-1.6              
 Workbench                            Workbench (workbench)                                                    Module  Enabled        7.x-1.2              
 Andere                               AT Admin (adaptivetheme_admin)                                           Theme   Enabled        7.x-3.4              
 Andere                               AT Core (adaptivetheme)                                                  Theme   Enabled        7.x-3.2              
 Andere                               AT Subtheme (adaptivetheme_subtheme)                                     Theme   Enabled        7.x-3.4              
 Andere                               indeko7 (indeko7)                                                        Theme   Enabled        7.x-3.2              
 Core                                 Bartik (bartik)                                                          Theme   Enabled        7.53                 
 Core                                 Garland (garland)                                                        Theme   Disabled       7.53                 
 Core                                 Seven (seven)                                                            Theme   Enabled        7.53                 
 Core                                 Stark (stark)                                                            Theme   Disabled       7.53                 

